 L. Klostermann,Germany,,,,,RB Leipzig,,,,
 P. De la Vega,Argentina,,,,,Club Atlético Lanús,,,,
 M. Edwards,England,,,,,Vitória Guimarães,,,,
 M. Guendouzi,France,,,,,Hertha BSC,,,,
 R. Nelson,England,,,,,Arsenal,,,,
 S. Wamangituka,DR Congo,,,,,VfB Stuttgart,,,,
 Gabriel,Brazil,,,,,Arsenal,,,,
 A. Wan-Bissaka,England,,,,,Manchester United,,,,
 Kangin Lee,Korea Republic,,,,,Valencia CF,,,,
 Bryan Gil,Spain,,,,,SD Eibar,,,,
 A. Robertson,Scotland,,,,,Liverpool,,,,
 Richarlison,Brazil,,,,,Everton,,,,
 A. Martial,France,,,,,Manchester United,,,,
 J. Vagnoman,Germany,,,,,Hamburger SV,,,,
 O. Ejaria,England,,,,,Reading,,,,
 Carlos Soler,Spain,,,,,Valencia CF,,,,
 P. Højbjerg,Denmark,,,,,Tottenham Hotspur,,,,
 I. Moriba,Guinea,,,,,FC Barcelona,,,,
 K. Diatta,Senegal,,,,,Club Brugge KV,,,,
 R. Aït Nouri,France,,,,,Wolverhampton Wanderers,,,,
 L. Bailey,Jamaica,,,,,Bayer 04 Leverkusen,,,,
 M. Obafemi,Republic of Ireland,,,,,Southampton,,,,
 R. Lukaku,Belgium,,,,,Inter,,,,
 E. Bailly,Ivory Coast,,,,,Manchester United,,,,
 E. Barco,Argentina,,,,,Atlanta United,,,,
 S. Gnabry,Germany,,,,,FC Bayern München,,,,
 A. Vranckx,Belgium,,,,,KV Mechelen,,,,
 S. Milinković-Savić,Serbia,,,,,Lazio,,,,
 D. Alli,England,,,,,Tottenham Hotspur,,,,
 M. Thuram,France,,,,,Borussia Mönchengladbach,,,,
 J. Maddison,England,,,,,Leicester City,,,,
 R. Sessegnon,England,,,,,TSG 1899 Hoffenheim,,,,
 P. Dybala,Argentina,,,,,Juventus,,,,
 S. Lammers,Netherlands,,,,,Atalanta,,,,
 H. Lozano,Mexico,,,,,Napoli,,,,
 T. Ndombele,France,,,,,Tottenham Hotspur,,,,
 T. Nakai,Japan,,,,,Real Madrid,,,,
 Tomás Tavares,Portugal,,,,,Deportivo Alavés,,,,
 J. Vardy,England,,,,,Leicester City,,,,
 M. Demiral,Turkey,,,,,Juventus,,,,
 F. Coman,Romania,,,,,FCSB (Steaua),,,,
 R. Hack,Germany,,,,,1. FC Nürnberg,,,,
 J. Ikoné,France,,,,,LOSC Lille,,,,
 H. Elliott,England,,,,,Blackburn Rovers,,,,
 J. Mæhle,Denmark,,,,,KRC Genk,,,,
 W. Ndidi,Nigeria,,,,,Leicester City,,,,
 H. Çalhanoğlu,Turkey,,,,,Milan,,,,
 B. Badiashile,France,,,,,AS Monaco,,,,
 J. Branthwaite,England,,,,,Everton,,,,
name,country,position,age,overall_rating,potential,club,value,wage,total_stats,hits
 Z. Çelik,Turkey,RB,23,,,LOSC Lille,,,,
 S. Dest,United States,RB,19,,,FC Barcelona,,,,
 M. Rashford,England,"LM,ST",22,,,Manchester United,,,,
 João Félix,Portugal,"CF,ST",20,,,Atlético Madrid,,,,
 M. Zaccagni,Italy,"CF,ST",25,,,Hellas Verona,,,,
 O. Kabak,Turkey,CB,20,,,FC Schalke 04,,,,
 I. Konaté,France,CB,21,,,RB Leipzig,,,,
 P. Foden,England,"CAM,CM,LW",20,,,Manchester City,,,,
 K. Havertz,Germany,"CAM,RM,CM",21,,,Chelsea,,,,
 J. Koundé,France,CB,21,,,Sevilla FC,,,,
 K. Walker-Peters,England,RB,23,,,Southampton,,,,
 C. De Ketelaere,Belgium,"CF,ST,CAM,CF,LW,ST,CF",19,,,Club Brugge KV,,,,
 Neymar Jr,Brazil,"LW,CAM",28,,,Paris Saint-Germain,,,,
 Riqui Puig,Spain,"CM,CAM",20,,,FC Barcelona,,,,
 H. Son,Korea Republic,"LM,CF,LW",27,,,Tottenham Hotspur,,,,
 D. Alaba,Austria,"CB,LB",28,,,FC Bayern München,,,,
 M. Ihattaren,Netherlands,"CAM,RM,CM",18,,,PSV,,,,
 Eric García,Spain,CB,19,,,Manchester City,,,,
 Adama Traoré,Spain,"RW,RWB",24,,,Wolverhampton Wanderers,,,,
 Nuno Tavares,Portugal,LB,20,,,SL Benfica,,,,
 Gabriel Martinelli,Brazil,"LW,LM,ST",19,,,Arsenal,,,,
 J. Frimpong,Netherlands,"RB,RWB,RM",19,,,Celtic,,,,
 M. Ødegaard,Norway,"CAM,CM",21,,,Real Madrid,,,,
 M. Boadu,Netherlands,ST,19,,,AZ Alkmaar,,,,
 N. Mukiele,France,"RWB,RM,RB,CB,RM",22,,,RB Leipzig,,,,
 K. Tierney,Scotland,"LB,LWB",23,,,Arsenal,,,,
 M. Aarons,England,RB,20,,,Norwich City,,,,
